

Tyler Hansbrough,Forward,"6'9""",250,2009,UNC,36.0,1122.6666666666667,741.6666666666667,316.6666666666667,36.666666666666664,44.666666666666664,14.0,70.0,85.33333333333334,3
Derek Raivio,Guard,"6'3""",168,2007,GONZ,15.5,567.0,284.0,48.5,41.5,23.5,0.5,28.5,26.5,1
Brandon Cotton,Guard,"6'0""",175,2008,DET,9.0,296.0,164.33333333333334,16.0,16.333333333333332,7.0,0.0,18.333333333333332,9.666666666666666,1
Keoni Watson,Guard,"5'10""",180,2007,IDHO,28.0,885.0,511.0,87.0,61.0,35.0,1.0,92.0,77.0,1
Marcelus Kemp,Guard,"6'5""",210,2008,NEV,20.666666666666664,656.3333333333333,396.0,105.33333333333334,60.0,14.666666666666668,5.0,55.33333333333333,43.0,2
Aleks Maric,Center,"6'11""",265,2008,NEB,29.5,855.0,497.0,277.0,43.5,26.5,39.5,85.0,76.5,2
Brandon Worthy,Guard,"6'2""",205,2007,LMNT,10.0,358.0,182.0,41.0,38.0,18.0,1.0,29.0,27.0,1
Tristan Blackwood,Guard,"6'0""",170,2008,CCST,28.5,1033.5,496.0,73.0,135.5,34.5,2.0,93.0,55.0,2
Aaron Brooks,Guard,"6'0""",161,2007,ORE,16.0,593.0,290.5,67.0,68.5,22.0,2.5,41.0,38.5,1
Courtney Pigram,Guard,"6'1""",195,2009,ETSU,29.666666666666664,1001.3333333333333,503.33333333333326,99.0,108.0,60.0,4.333333333333333,95.66666666666666,61.33333333333333,3
Herbert Hill,Forward,"6'9""",240,2007,PROV,15.0,484.5,269.0,134.5,21.5,14.5,45.0,43.0,43.0,1
Mark Zoller,Forward,"6'6""",210,2007,PENN,13.5,423.5,241.5,101.5,37.5,22.0,6.0,36.0,46.5,1
Belton Rivers,Guard,"6'1""",190,2007,TNTC,15.0,506.0,268.0,55.5,38.5,17.0,1.0,44.5,34.5,1
Herb Courtney,Forward,"6'7""",200,2008,DEL,19.333333333333332,675.3333333333333,306.6666666666667,137.0,23.666666666666664,26.333333333333332,28.666666666666664,48.66666666666667,59.66666666666667,2
Nick Young,Guard,"6'6""",200,2007,USC,35.0,1162.0,621.0,154.0,47.0,26.0,7.0,85.0,86.0,1
Glen Davis,Forward,"6'9""",289,2007,LSU,28.0,988.0,496.0,295.0,62.0,32.0,27.0,79.0,64.0,1
Tyrese Rice,Guard,"6'0""",183,2009,BCOL,30.333333333333336,1096.0,556.0,107.0,156.66666666666666,43.0,7.333333333333334,107.0,68.0,3
Jeremy Wise,Guard,"6'2""",165,2009,USM,29.0,1006.3333333333334,508.33333333333326,92.66666666666666,116.66666666666667,33.666666666666664,9.0,99.33333333333334,83.66666666666667,3
Brian Roberts,Guard,"6'2""",185,2008,DAY,30.0,1053.5,532.0,83.5,90.5,15.0,5.0,76.5,56.0,2
Brian Cusworth,Center,"7'0""",225,2007,HARV,15.0,490.0,264.0,141.0,20.0,11.0,34.0,45.0,41.0,1
Richard Roby,Guard,"6'6""",190,2008,COL,27.0,909.0,469.0,162.5,55.5,29.5,20.0,92.5,74.0,2
Will Whittington,Forward,"6'3""",180,2007,MRST,15.5,581.5,272.0,52.5,25.5,15.5,2.0,27.5,37.0,1
Nate Funk,Guard,"6'3""",195,2007,CRTN,15.5,536.0,272.0,53.5,47.5,20.0,1.5,34.5,23.0,1
Greg Sprink,Guard,"6'5""",205,2008,NAVY,26.0,915.5,517.5,148.5,69.5,28.5,2.5,79.5,82.5,2
Will Daniels,Forward,"6'8""",220,2008,URI,30.0,864.0,542.5,184.0,40.0,27.0,21.0,72.5,85.5,2
Cartier Martin,Guard,"6'7""",220,2007,KSST,16.0,450.0,280.0,72.0,19.0,12.0,3.5,27.5,43.0,1
Randall Gulina,Guard,"6'2""",205,2007,SAMF,14.5,481.0,253.5,49.5,17.0,11.5,0.5,23.5,26.5,1
Tywain McKee,Guard,"6'2""",182,2009,COPN,30.666666666666664,1096.0,535.6666666666666,149.66666666666669,107.66666666666667,65.66666666666666,4.0,87.66666666666667,77.33333333333333,3
Zabian Dowdell,Guard,"6'2""",195,2007,VTEC,16.5,562.0,288.0,58.5,49.5,34.0,3.0,33.5,25.0,1
Jonathan Rodriguez,Forward,"6'5""",210,2010,CAM,28.25,928.25,503.0,245.25,64.0,40.75,18.25,79.0,62.5,4
Curtis Sumpter,Forward,"6'7""",223,2007,VILA,15.0,467.5,261.5,109.0,13.5,13.0,14.0,33.0,45.5,1
Brad Jones,Guard,"6'0""",170,2008,WYOM,26.5,966.0,389.0,132.0,103.0,31.5,1.0,102.0,73.5,2
Ruben Boykin Jr.,Forward,"6'7""",185,2008,NOAZ,9.0,292.0,156.66666666666666,83.33333333333333,27.666666666666668,6.666666666666667,5.333333333333333,22.0,23.333333333333332,1
Keena Young,Forward,"6'6""",205,2008,BYU,16.5,475.0,287.0,109.5,24.0,7.5,2.5,36.0,39.0,1
Steven Rush,Guard,"5'11""",170,2008,NCAT,17.333333333333336,490.66666666666663,278.33333333333337,41.33333333333333,27.333333333333332,14.0,0.6666666666666666,33.333333333333336,25.333333333333336,2
David Dees,Guard,"6'5""",200,2008,ULLA,17.0,459.66666666666663,216.33333333333334,69.66666666666666,35.333333333333336,12.666666666666668,4.0,33.666666666666664,28.0,2
JamesOn Curry,Guard,"6'3""",190,2007,OKST,32.0,1193.0,554.0,104.0,112.0,35.0,11.0,98.0,67.0,1
Anthony Fisher,Guard,"6'2""",180,2008,TNTC,29.0,999.5,497.0,105.0,114.0,36.5,3.0,86.0,74.0,2
Eugene Harvey,Guard,"6'0""",184,2010,SET,28.75,950.5,361.75,85.5,133.75,46.75,1.0,86.5,62.25,4
Arron Afflalo,Guard,"6'5""",215,2007,UCLA,35.0,1159.0,599.0,99.0,65.0,20.0,8.0,62.0,64.0,1
Mark McAndrew,Guard,"6'3""",200,2008,BRWN,26.0,913.5,437.0,136.5,59.0,31.5,1.0,71.5,61.0,2
Jared Jordan,Guard,"6'2""",190,2007,MRST,15.0,569.5,256.0,88.0,131.0,19.5,0.5,47.0,24.5,1
Derrick Byars,Guard,"6'7""",220,2007,VAND,16.5,519.5,281.5,82.0,57.0,22.5,2.0,38.5,39.0,1
Russell Carter,Guard,"6'4""",223,2007,NDAM,14.0,432.5,238.5,68.5,25.5,22.5,5.0,31.5,31.5,1
